id,version_active,file_bytes,create_date,create_uid/id,cte_name,model,file_filter,odoo_model/id,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/create_date,sga_file_var_ids/create_uid/id,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default,sga_file_var_ids/write_uid/id,sga_file_var_ids/write_date,description,code,version,write_uid/id,write_date
,,,,,,,,,__export__.sgavar_file_var_602_369662cd,Alfanumerico,TRAREF,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,79,64,0,16,16,sga_ulma_integration.model_stock_picking,False,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1114_1v68wx6s,Fecha,FECORD,__export__.ir_model_fields_8590_7acc3e09, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,87,80,0,8,8,sga_ulma_integration.model_stock_picking,False,10,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_713_11dcc9eb,Alfanumerico,FECEXP,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,95,88,0,8,8,sga_ulma_integration.model_stock_picking,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3328_f6e2d28c,Alfanumerico,HOREXP,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,99,96,0,4,4,sga_ulma_integration.model_stock_picking,False,12,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_725_424130f0,Alfanumerico,URGENT,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,100,100,0,1,1,sga_ulma_integration.model_stock_picking,True,13,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1151_4s3tpnbu,Alfanumerico,OBS,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,140,101,0,40,40,sga_ulma_integration.model_stock_picking,False,14,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_636_a5777eaa,Alfanumerico,MUEEXP,sga_adaia_integration.field_stock_picking_adaia_dock, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,146,141,0,6,6,sga_ulma_integration.model_stock_picking,False,15,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1048_76e28e0f,Alfanumerico,PRVCAMCOM,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,306,147,0,160,160,sga_ulma_integration.model_stock_picking,False,16,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3402_247c58ec,Alfanumerico,AGROEXGENACC,sga_adaia_integration.field_stock_picking_adaia_group, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,322,307,0,16,16,sga_ulma_integration.model_stock_picking,False,17,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_649_a4eddd3a,Numérico,NUMVER,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,326,323,0,4,4,sga_ulma_integration.model_stock_picking,False,18,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
