"id","version_active","file_bytes","cte_name","model","file_filter","odoo_model/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/length","sga_file_var_ids/odoo_model/id","sga_file_var_ids/required","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"","","","","","","","Alfanumerico","RECORDLIN","stock.field_stock_move_line_id"," ","90","68","0","9","9","sga_ulma_integration.model_stock_move_line","False","10","","","",""
"","","","","","","","Alfanumerico","LOTE","stock.field_stock_move_line_lot_name"," ","103","77","0","20","20","sga_ulma_integration.model_stock_move_line","False","11","","","",""
"","","","","","","","Alfanumerico","INCIDENCIA",""," ","79","97","0","1","1","sga_ulma_integration.model_stock_move_line","False","12","S","","",""
"__export__.sgavar_file_104_9e8d820e","False","0","Movimiento de Stock","Movimiento de Stock","","sga_ulma_integration.model_stock_move","one2many","MOVE_LINE_IDS","stock.field_stock_move_move_line_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_move","True","0","OIN","","MIN","1"
"__export__.sgavar_file_105_6b050dd1","False","166","Línea de fabricación","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","'-14","UNIT","","UNL","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","'-13","AG","","",""
"","","","","","","","Alfanumerico","SSCC",""," ","25","7","0","18","18","sga_ulma_integration.model_stock_picking","False","'-12","","","",""
"","","","","","","","Related-Alfanumérico","ARTREF","stock.field_stock_picking_product_id"," ","41","26","0","16","16","sga_ulma_integration.model_stock_picking","True","'-11","default_code","","",""
"","","","","","","","Alfanumerico","LOTE","","","61","42","0","20","20","sga_ulma_integration.model_stock_picking","False","'-10"," ","","",""
"","","","","","","","Numérico","CAN","stock.field_stock_move_line_qty_done"," ","70","62","0","9","9","sga_ulma_integration.model_stock_picking","True","'-9","","","",""
"","","","","","","","Alfanumerico","TIPUNI",""," ","74","71","0","4","4","sga_ulma_integration.model_stock_picking","False","'-8","","","",""
"","","","","","","","Alfanumerico","NUMUNI",""," ","82","75","0","8","8","sga_ulma_integration.model_stock_picking","False","'-7","","","",""
"","","","","","","","Alfanumerico","ROTACION",""," ","90","83","0","8","8","sga_ulma_integration.model_stock_picking","False","'-6","","","",""
"","","","","","","","Alfanumerico","ORIGEN",""," ","96","91","0","16","16","sga_ulma_integration.model_stock_picking","False","'-5","","","",""
"","","","","","","","Alfanumerico","DESTINO",""," ","112","97","0","16","16","sga_ulma_integration.model_stock_picking","False","'-4","","","",""
"","","","","","","","Alfanumerico","DIMCOD",""," ","116","113","0","4","4","sga_ulma_integration.model_stock_picking","False","'-3","","","",""
"","","","","","","","Alfanumerico","TERREFRES",""," ","132","117","0","16","16","sga_ulma_integration.model_stock_picking","False","'-2","","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","148","133","0","16","16","sga_ulma_integration.model_stock_picking","False","'-1","","","",""
"","","","","","","","Alfanumerico","PES",""," ","157","149","3","6","9","sga_ulma_integration.model_stock_picking","False","0","","","",""
"__export__.sgavar_file_106_727787bd","False","0","Entrada de producción","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","one2many","MOVE_LINES","stock.field_stock_picking_move_line_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","0","UNL","","UNT","0"
